grdc_no,lon,lat
1026,-57.75,79.75
1027,-57.25,79.75
1028,-56.75,79.75
1029,-56.25,79.75
1030,-55.75,79.75
1031,-55.25,79.75
1032,-54.75,79.75
1033,-54.25,79.75
1034,-53.75,79.75
1035,-53.25,79.75
1036,-52.75,79.75
1037,-52.25,79.75
1038,-51.75,79.75
1039,-51.25,79.75
1040,-50.75,79.75
1041,-50.25,79.75
1042,-49.75,79.75
1043,-49.25,79.75
1044,-48.75,79.75
1045,-48.25,79.75
1046,-47.75,79.75
1047,-47.25,79.75
1048,-46.75,79.75
1049,-46.25,79.75
1050,-45.75,79.75
1051,-45.25,79.75
1052,-44.75,79.75
1053,-44.25,79.75
1054,-43.75,79.75
1055,-43.25,79.75
1056,-42.75,79.75
1057,-42.25,79.75
1058,-41.75,79.75
1059,-41.25,79.75
1060,-40.75,79.75
1061,-40.25,79.75
1062,-39.75,79.75
1063,-39.25,79.75
1064,-38.75,79.75
1065,-38.25,79.75
1066,-37.75,79.75
1067,-37.25,79.75
1068,-36.75,79.75
1069,-36.25,79.75
1070,-35.75,79.75
1071,-35.25,79.75
1072,-34.75,79.75
1073,-34.25,79.75
1074,-33.75,79.75
1075,-33.25,79.75
1076,-32.75,79.75
1077,-32.25,79.75
1078,-31.75,79.75
1079,-31.25,79.75
1080,-30.75,79.75
1081,-30.25,79.75
1082,-29.75,79.75
1083,-29.25,79.75
1084,-28.75,79.75
1085,-28.25,79.75
1086,-27.75,79.75
1087,-27.25,79.75
1088,-26.75,79.75
1089,-26.25,79.75
1090,-25.75,79.75
1091,-25.25,79.75
1092,-24.75,79.75
1093,-24.25,79.75
1094,-23.75,79.75
1095,-23.25,79.75
1096,-22.75,79.75
1097,-22.25,79.75
1098,-21.75,79.75
1099,-21.25,79.75
1100,-20.75,79.75
1101,-20.25,79.75
1102,-19.75,79.75
1103,-19.25,79.75
1104,-18.75,79.75
1105,-18.25,79.75
1106,-17.75,79.75
1107,11.25,79.75
1108,11.75,79.75
1109,12.25,79.75
1110,12.75,79.75
1111,13.25,79.75
1112,13.75,79.75
1113,14.25,79.75
1114,14.75,79.75
1115,15.25,79.75
1116,15.75,79.75
1117,16.25,79.75
1118,16.75,79.75
1119,17.25,79.75
1120,17.75,79.75
1121,18.25,79.75
1122,18.75,79.75
1123,21.25,79.75
1124,21.75,79.75
1125,22.25,79.75
1126,22.75,79.75
1127,23.25,79.75
1128,23.75,79.75
1129,24.25,79.75
1130,24.75,79.75
1131,25.25,79.75
1132,25.75,79.75
1133,-106.25,79.25
1134,-105.75,79.25
1135,-105.25,79.25
1136,-104.75,79.25
1137,-104.25,79.25
1138,-103.75,79.25
1139,-103.25,79.25
1140,-102.75,79.25
1141,-102.25,79.25
1142,-101.75,79.25
1143,-94.25,79.25
1144,-93.75,79.25
1145,-93.25,79.25
1146,-92.75,79.25
1147,-92.25,79.25
1148,-91.75,79.25
1149,-91.25,79.25
1150,-90.75,79.25
1151,-90.25,79.25
1152,-89.75,79.25
1153,-89.25,79.25
1154,-88.75,79.25
1155,-88.25,79.25
1156,-87.75,79.25
1157,-87.25,79.25
1158,-86.75,79.25
1159,-86.25,79.25
1160,-85.75,79.25
1161,-85.25,79.25
1162,-84.75,79.25
1163,-84.25,79.25
1164,-83.75,79.25
1165,-83.25,79.25
1166,-82.75,79.25
1167,-82.25,79.25
1168,-81.75,79.25
1169,-81.25,79.25
1170,-80.75,79.25
1171,-80.25,79.25
1172,-79.75,79.25
1173,-79.25,79.25
1174,-78.75,79.25
1175,-78.25,79.25
1176,-77.75,79.25
1177,-77.25,79.25
1178,-76.75,79.25
1179,-76.25,79.25
1180,-75.75,79.25
1181,-75.25,79.25
1182,-74.75,79.25
1183,-74.25,79.25
1184,-68.75,79.25
1185,-68.25,79.25
1186,-67.75,79.25
1187,-67.25,79.25
1188,-66.75,79.25
1189,-66.25,79.25
1190,-65.75,79.25
1191,-65.25,79.25
1192,-64.75,79.25
1193,-64.25,79.25
1194,-63.75,79.25
1195,-63.25,79.25
1196,-62.75,79.25
1197,-62.25,79.25
1198,-61.75,79.25
1199,-61.25,79.25
